supplier,supplier_sku,aliases,description,pack_size,base_unit,unit_cost_gbp,lines_seen,last_seen,min_confidence,reason
Amazon,B0762HG4TR,,"Double Dragon 76 x 76mm 2-Ply Carbonless Paper Roll - for Kitchen, Calculator, Non-Thermal Till POS Receipt & Dot Matrix Impact Printers - Compatible with Star, Clover, Epson, Bixolon",20 Rolls,,21.37,1,2026-08-08,0.95,seen only once in the captured window
Amazon,B076T5GBRF,,"STATUS 3 Socket Extension Lead, 0.5m Compact Cable 13A Power Strip for Desks and TV Units, White",,,7.73,1,2026-09-09,0.95,seen only once in the captured window
Amazon,B078MMJPJF,,"maxtek Whiteboard Pens, Whiteboard Markers 3 Assorted Colours Black Blue Red Dry Erase Pens for Office, Schools, Home, Bullet Tip Dry Wipe Pens",12pcs,,7.19,1,2026-09-09,0.99,seen only once in the captured window
Amazon,B0791X5MFC,,1000Pcs Bamboo Toothpicks - Double Pointed - Appetizer & Cocktail Sticks,,,2.41,1,2026-08-07,0.90,seen only once in the captured window
Amazon,B07C2TGKGT,,"Gocableties Clear Double Sided Tape, Strong Wide Double Sided Sticky Tape for Craft, Scrapbooking and Mounting Photos, 1 Roll","50mm (2"") x 33m",,11.38,1,2026-08-30,0.93,seen only once in the captured window
Amazon,B07CNRHB4J,,G4GADGET Strong Quality Set of 24 Gold Plastic Winner Medals Necklaces Sports Day Awards Star Classroom kids awards,,,7.98,1,2026-08-06,0.90,seen only once in the captured window
Amazon,B07CTB6PK5,,AOMEES Adhesive Hooks Heavy Duty Wall Hooks 8kg (Max) Self Adhesive Hook 12pcs,,kg,5.99,1,2026-09-02,0.95,seen only once in the captured window
Amazon,B07DM8Z7VT,,"We Can Source It Ltd - Wooden Coffee Stirrers 5.5 Inch - Natural Birchwood Stir Sticks for Tea, Coffee & Drinks - Eco-Friendly, Compostable & Biodegradable - Barista, Café, Party Use",Pack of 1000,,6.98,1,2026-08-05,0.95,seen only once in the captured window
Amazon,B07K5N3GN7,,"Renshaw Black Extra Stretch, Smooth & Thin Fondant Icing",1 kg (Pack of 1),kg,9.18,1,2026-08-15,0.95,seen only once in the captured window
Amazon,B07PJKS1LX,,"300pcs Craft Tissue Paper Sheets Set, A4 Assorted Colors, Kids DIY Craft Kit Decorative Tissue Paper",,,7.99,1,2026-09-03,0.95,seen only once in the captured window
Amazon,B07PPMNVVV,,"Shuttle Art Black Permanent Markers, 30 Pack Fine Point Permanent Markers",30 Pack,each,11.89,1,2026-09-03,0.90,seen only once in the captured window
Amazon,B07PSLRLW2,,6 Pack Mixed Colour Electrical Insulation Tape Adhesive Gaffer PVC Tape,10M x 17MM (32.8 Feet x 0.67 Inches),each,6.99,1,2026-09-07,0.95,seen only once in the captured window
Amazon,B07TY6HRL4,,Thlevel Fridge Reptile Thermometer Probe Temperature Gauge,,,6.36,1,2026-08-23,0.90,seen only once in the captured window
Amazon,B07VGYTXHY,,"Color Swell Bulk Crayons, 10 Packs, 24 per Pack (240 Total)","10 Packs, 24 per Pack",,15.5,1,2026-08-19,0.90,seen only once in the captured window
Amazon,B07WCCN5X1,,"A3 Display Book 40 Pockets (80 Views) - Black Presentation Folder with Clear Plastic Sleeves - Portfolio, Certificate & Project Folder for School, Office & Interviews (Lotus)",,,9.06,1,2026-09-07,0.90,seen only once in the captured window
Amazon,B07ZKSJTKC,,"sourcing map Solid Rectangle Rubber Seal Strip 15mm Wide 2mm Thick, 1 Meter Long Black",,,4.58,1,2026-08-16,0.90,seen only once in the captured window
Amazon,B084GRR9M3,,A5 20 Pocket Display Book Presentation Folder Portfolio (40 Views) Project Book Certificate Folder Plastic Wallets,1 Book,,4.49,1,2026-09-07,0.95,seen only once in the captured window
Amazon,B085YCW7P5,,"Renshaw White Extra Stretch, Smooth & Thin Fondant Icing",1 kg (Pack of 1),kg,12.06,1,2026-08-15,0.95,seen only once in the captured window
Amazon,B0879XXK33,,"Amazon Basics 48 Key Cabinet Steel Security Lock Box, Black, 17.78 D x 24.89 W x 238.76 H cm",,,10.19,1,2026-08-29,0.95,seen only once in the captured window
Amazon,B08C79P63Y,,"DeskitA4 Laminating Pouches, Gloss, Bulk Pack 250 Sheets, 150 Microns -for High Volume and Multi-Projects Laminations",Bulk Pack 250 Sheets,,21.95,1,2026-08-11,0.90,seen only once in the captured window
Amazon,B08JYPJKR5,,Asude 10L 20L 30L Plastic Storage Box Container Boxes Lid Handles Home Office,30L,L,11.9,1,2026-08-07,0.90,seen only once in the captured window
Amazon,B08P2KZ9QD,,"EDISHINE 6 Pack E27 Dimmable LED Bulb, 9W 2700K Warm White, 800LM",6 Pack,each,12.26,1,2026-08-30,0.95,seen only once in the captured window
Amazon,B08SGRJ4JH,,"Cake Scraper Cake Smoother Scraper, Cakes Edge Scrappers Cutters Smoother Tool for Cakes Cream Baking Decorating",,,4.49,1,2026-08-24,0.98,seen only once in the captured window
Amazon,B08TT1WWB8,,BOJACK 4 Values 64 pcs 3 5 10 13 A amp 240 V Volt Household Mains Plug Fuse 6.3x25 mm 0.25x1Inch BS1362 Ceramic Tube Cartridge Fuses Assortment Kit packag in a Clear Plastic Box,,,7.88,1,2026-08-16,0.95,seen only once in the captured window
Amazon,B094Q26PBF,,"Zulfaye Hair Bobbles for Thick Hair, Elastic Hair Bands for Women, 4mm Snag Free Strong Hair Ties No Damage for Girls, Hairbands Women, Ponytail Holders",Pack of 40 - Black,,5.2917,2,2026-08-30,0.90,seen with 2 different pack sizes (packof40; packof40black)
Amazon,B0954WTR8M,,Prepped Food Labels - Red Text Removable - Use by Food Labels - Food Rotation Roll - Supplied in Rolls of 500. Label Size:,49x74mm,,5.725,1,2026-08-30,0.90,seen only once in the captured window
Amazon,B09CR1K72K,,"Straame Playballs, Soft Pit Balls for Kids, Small Colourful Plastic Balls, Crush Proof, No Sharp Edges, Toxic Free, Baby Approved Playball Set (Blue and White, 100 pcs)",100 pcs,,9.98,1,2026-08-05,0.90,seen only once in the captured window
Amazon,B09MYT3V2J,,"Set of 3 Fragrance Reed Diffusers, 50ml Lavender Jasmine Lemongrass",,L,16.99,1,2026-09-04,0.95,seen only once in the captured window
Amazon,B09NPLDJ5D,,"31 Piece Fondant Cake Modelling Tools, Cookie Sculpting Decoration Sets, Polymer Clay Tools Baking Accessories",,,7.19,1,2026-08-10,0.90,seen only once in the captured window
Amazon,B09PG7NR2L,,"3 Pack A4 Acrylic Sign Holder, Wooden Base A4 Display Stands, T-shaped Double Side Poster Menu Holders for Tables, Worktop, Office, Home, Shop",,each,16.14,1,2026-08-23,0.90,seen only once in the captured window
Amazon,B09SLX6GQS,,Super Ninja Fruit Fly Traps for Indoors,4 Pack,each,15.94,1,2026-08-23,0.90,seen only once in the captured window
Amazon,B09YQ4PJDH,,"Paper Clips Assorted Sizes, 750 Clips/Box by JIKIOU","(28 mm,33mm,50 mm)",,9.48,1,2026-08-10,0.95,seen only once in the captured window
Amazon,B0B4X115L6,,"Best House 2 PCS Clear Plastic Storage Box with Lids, Storage Containers Use for Home, office, Kitchen, Toys and Goods",10 Litres,,14.69,1,2026-08-15,0.90,seen only once in the captured window
Amazon,B0B87TMTVM,,"Flow fire A4 Acrylic Sign Holder, T-Shaped Table Menu Display Stand",6 Pack,each,18.72,1,2026-08-30,0.95,seen only once in the captured window
Amazon,B0BLWBH8TF,,Fire Action Notice Signs 1mm Rigid Plastic Pack of 5 Essential Fire Safety Signage for Businesses and Public Spaces 200mm x 300mm Weatherproof Design,Pack of 5,,16.99,1,2026-09-09,0.90,seen only once in the captured window
Amazon,B0BNQSWR6K,,Ram® 1 Piece Deluxe Plush Christmas Santa Hat For Adults And Kids Christmas Party Hat With Fur,,,3.49,1,2026-09-03,0.95,seen only once in the captured window
Amazon,B0C48NWP8T,,"Cutlery Set, Pleafind 32-Piece Stainless Steel Flatware Set for 8 People, Spoon Knife and Fork Sets, Mirror Polished and Dishwasher Safe, Silverware Set for Home, Kitchen",,,13.19,1,2026-09-03,0.90,seen only once in the captured window
Amazon,B0C6SQMMM9,,"WORKPRO 3-Piece Pliers Set with Soft Grip, for DIY Household Repair",,,12.74,1,2026-09-07,0.90,seen only once in the captured window
Amazon,B0C74RKVK9,,"Twist Ingredients - Pearls Mix - 1kg High Shine Metallic Gold Sprinkles - Edible Shimmer Ball Gold Cake Decorations - Perfect Cake Sprinkles for Weddings, Christenings & Parties",1kg,kg,43.9,1,2026-08-14,0.95,seen only once in the captured window
Amazon,B0CPSZJN5L,,"USB C to USB C Charger Cable 2m, 60W Type C Cable Lead Long Fast Charging Power for Apple iPhone 17 Pro Max/17 Air/16/16 Pro/15 Plus, MacBook Pro 2021/2020, iPad Pro 12.9/11 inch/Mini/Air 5/4, Pixel",,,8.99,1,2026-08-16,0.95,seen only once in the captured window
Amazon,B0CQPGMQV3,,Speculoos Caramelised Biscuit Crumbs 0-10mm | La Ricetta 1.1kg Original Speculoos Caramelised Biscuit Crumbs | Perfect Ingredient for Baking | Delicious Caramel and Cinnamon Flavour,Pack of 2,kg,16.91,1,2026-09-07,0.90,seen only once in the captured window
Amazon,B0D2H1HR4G,,"DOQAUS Meat Thermometers, 3S Instant Read Food Thermometer with Backlight",,,6.4067,1,2026-08-22,0.90,seen only once in the captured window
Amazon,B0D94QVZYC,,"200 Paper Straws Multicolored - Eco-Friendly Alternative to Plastic Straws 100% Biodegradable and Compostable - Perfect for Drinking, Cocktails, and Parties Multicolour",,,9.97,1,2026-08-24,0.90,seen only once in the captured window
Amazon,B0D9BBCPQG,,"Anti Slip Tape for Steps, Hazard Warning Tape Yellow and Black,",5 CM x 5 M,,7.99,1,2026-08-29,0.95,seen only once in the captured window
Amazon,B0DCK7P5DQ,,Fogray 2026 Upgraded 240cm Extendable Feather Duster with Soft Silicone Cap,,,6.95,1,2026-08-18,0.95,seen only once in the captured window
Amazon,B0DD2WKQD5,,"GUOKOFF Large Metal Bulldog Clips, 10 Pcs 90mm Bulldog Clip |",10 Pcs,,13.28,1,2026-08-23,0.95,seen only once in the captured window
Amazon,B0DH1KJ72Q,,"Fire Alarm Test Key, Fire Call Point Keys Spare Emergency Door Release Keys",,,5.78,1,2026-08-29,0.95,seen only once in the captured window
Amazon,B0DL566VGL,,Leikedun Wine Saver Vacuum Pump with 24 Reusable Wine Bottle Stoppers,,,12.88,1,2026-08-29,0.95,seen only once in the captured window
Amazon,B0DL6CHSTY,,100 Pack White Paper Napkins 30x30cm 1-Ply Serviettes,100 Pack,each,3.89,1,2026-08-06,0.90,seen only once in the captured window
Amazon,B0DQDFKL9B,,HEFTMAN Glass Drink Dispenser with Tap 4L,,L,19.49,1,2026-09-01,0.95,seen only once in the captured window
Amazon,B0DS67HZTT,,Really Useful Box Plastic Storage 4 Litre Clear,Pack Of 4,L,22.7,1,2026-09-08,0.90,seen only once in the captured window
Amazon,B0DX2FG2BS,,Conjured Fire Exit Keep Clear Sign Self-Adhesive (2 Pack) / Vinyl Decal Stickers with Strong But Removeable Adhesive,2 Pack,each,5.99,1,2026-08-29,0.95,seen only once in the captured window
Amazon,B0F28LDSPR,,"60 Coloured Tissue Paper for Wrapping Gifts, Cydaluya Tissue Papers with 20 Colors, 35x50cm Tissue Paper Sheets Perfect for Packaging Gifts and Crafts",,,4.72,1,2026-08-18,0.95,seen only once in the captured window
Amazon,B0F29NT616,,"Double Sided Foam Tape 20mm x 10m - Heavy Duty Weatherproof PE Mounting Tape - Strong Adhesive for Signs, Panels, Crafts, Home DIY - Indoor Outdoor Use - No Screws Needed",20mm x 10m,,9.98,1,2026-08-30,0.90,seen only once in the captured window
Amazon,B0F3K12KCT,,"Plastic Storage Boxes with Lids 80L - Pack of 5 | Large Clear Stackable Storage Containers with Black Lids, Heavy Duty Strong Durable Tubs for Home, Office, Multipurpose",Pack of 5,L,42.98,1,2026-08-07,0.95,seen only once in the captured window
Amazon,B0F6CJ94M1,,"(36 Pads) Sticky Notes 76 mm x 76 mm Post, 9 Bright Colors Self-Stick Note Pads it, Strong Adhesive, Easy to Post for Home, Office, Notebook",36 Pads,,13.28,1,2026-08-10,0.90,seen only once in the captured window
Amazon,B0FBWHTYVQ,,"5 Pcs CCTV In Operation Sign, Self-Adhesive, Weatherproof CCTV Stickers, Warning Signs for Indoor/Outdoor Use(15cm x 5cm)",,,4.39,1,2026-08-29,0.98,seen only once in the captured window
Amazon,B0FCFD3D3F,,"Vivo Technologies 100-Pack of 7-inch Disposable Paper Plates 18cm White 100% Compostable Biodegradable Party Paper Plate Perfect for Everyday use, Ideal for BBQ's, Parties and Events",100-Pack,,3.98,1,2026-08-06,0.90,seen only once in the captured window
Amazon,B0FF982WW4,,"AOOWU Adult Hooded Cape Set, Reversible Black and Red Cape Set with Collar Unisex Vampire Cape Witch Cloak Accessories for World Book DayHalloween Christmas Party Carnival Cosplay(C)",,,11.99,1,2026-09-03,0.95,seen only once in the captured window
Amazon,B0FJLV26XT,,"5 Inch (125mm) Flexible Aluminum PVC Ventilation Ducting Hose - 5m White Air Duct Pipe for Extractor Fan, Hydroponics, Grow Tents, Dryer Vents",5m,,17.59,1,2026-09-03,0.90,seen only once in the captured window
Amazon,B0FQN1D8TP,,"Gsrhzd A5 Plastic Wallet, 24 PCS Plastic Wallets with Label Pocket, 7 Holes Transparent Document Wallet A5 for School, Office, Home, Travel",,,7.99,1,2026-09-07,0.90,seen only once in the captured window
Amazon,B0FXLTT42J,,TRKETK 30 Pcs Liquor Pourer Cap Rubber Bottle Pour Dispenser Dust Covers Universal Leak-Proof Tapered Spout Bottle Pourer Dust Cover for Olive Oil Liquor Vinegar Spout Wine Coffee Cap (Black),,,6.19,1,2026-08-29,0.95,seen only once in the captured window
Amazon,B0G2MNDP66,,100 Pcs Hair Bands for Women Black Hair Band Hair Bobbles 4mm Black Hair Band Hair Bobbles Thick Hair Elastic Hair Ties Elastics Hairbands,,,3.4933,1,2026-08-28,0.90,seen only once in the captured window
Amazon,B0G3GXNPMP,,"Berry 75CM Unbreakable Traffic Cone - Orange | High-Visibility PVC Safety Cone with Black Weighted Base | Reflective Road Cone for Parking, Road Safety & Construction - Set of 2",Set of 2,,28.49,1,2026-08-28,0.90,seen only once in the captured window
Amazon,B0GVTFZDRV,,"4 x 32 Litre Underbed Plastic Storage Boxes with Lids Set of 4, Clear Multipurpose Nestable Stackable Plastic Storage Box 32L Clear Containers Boxes For Home, Kitchen, Office, Garage, Accessories",Set of 4,L,25.64,1,2026-09-01,0.90,seen only once in the captured window
Amazon,B0H1WJQYMS,,"CHDEXU Magnetic Sign Holder A4, 10 Pack Self Adhesive Magnetic Picture Frame, Magnetic Photo Frames for Wall Window Sign Holder, Silver Display Frames for Home Office School",10 Pack,each,19.58,1,2026-08-01,0.95,seen only once in the captured window
Amazon,BOCGZHPC9V,,"DAJAVE 500 Pcs Bamboo Cocktail Sticks 12cm Bamboo Knotted Cocktail Sticks Natural Knotted Bamboo Skewers Fancy Tooth Picks for Drinks, Fruit, Barbecue, Sandwiches, Cocktail Accessories",,,15.67,1,2026-08-29,0.90,seen only once in the captured window
Amazon,BOCTYSH9JS,,"Smith Packaging Address Label Roll Self Adhesive 89 mm x 36 mm White,",250 Labels Per Roll,,4.5,1,2026-09-07,0.99,seen only once in the captured window
Amazon,BODTHS69T9,,200 PCS Hair Bobbles 2mm Hair Bands for All Hair,,,4.58,1,2026-08-11,0.90,seen only once in the captured window
Amazon,BOFFLZYB7Y,,"Surcotto Plastic Wallets A4 Punched Pockets, 24 Pack Expandable Plastic Document Files Popper Wallet, 11 Holes Large Capacity Binder Pocket with Velcro and Label Pocket, Envelope File Folders",24 Pack,each,10.9,1,2026-09-07,0.90,seen only once in the captured window
Amazon,BOFRFRHFKD,,10 Pack Vacuum Bags NVM-2BH Compatible with Henry XL,10 Pack,each,12.49,1,2026-08-16,0.90,seen only once in the captured window
Amazon,BOFZWCM9VY,,"4 Pack Expanding File Folder, A6 Size Portable Accordion Folder with 13 Pockets with Colored Tags, Flash Card Holder Suitable for Documents Bills Drawing Paper and Receipts",17.8x10.6x3 cm,each,6.98,1,2026-09-07,0.95,seen only once in the captured window
Amazon,FPPPLUG13R,,13A 230V Plastic Plug - Black,,,3.41,1,2026-09-07,0.98,seen only once in the captured window
Amazon,H-00000001,,"HPCORA Long Dustpan and Brush Set, Windproof Vertical Extension Pole Handle Rotatable Broom Set Dustpan Set (Blue)",,,10.99,1,2026-08-21,0.80,seen only once in the captured window
Amazon,MK816A,,"Coffee Syrup Organizer Rack, Rustic Wood and Metal Wire, 4-Tier Display Holder Coffee Station Bar Accessory for Syrup, Wine, Dressing Bottle Countertop Display Storage Stand for Kitchen",,,24.98,1,2026-09-03,0.90,seen only once in the captured window
Amazon,STST1-75515,,"Low Essential Tool Box, Black/Yellow, 12.5-Inch",,,7.19,1,2026-09-07,0.98,seen only once in the captured window
Amazon,STST81680-1,,"Storage Organizer, Transparent",,,7.57,1,2026-09-07,0.98,seen only once in the captured window
Booker,069558,,Silver Spoon Icing Sugar,3kg,kg,7.99,1,2026-07-03,0.95,seen only once in the captured window
Booker,081321,,Harrogate Sparkling Spa Watr,24 330ml,L,14.99,1,2026-08-27,0.93,seen only once in the captured window
Booker,092712,,Fever Tree Light Tonic,24 200ml,L,16.85,1,2026-08-12,0.93,seen only once in the captured window
Booker,099045,,W/master Clingfilm Refils,1 2x300m,,35.49,1,2026-05-01,0.90,seen only once in the captured window
Booker,101523,,CL Cocoa Powder,1 1kg,kg,26.99,1,2026-06-27,0.90,seen only once in the captured window
Booker,112241,,Mason & Miller Hand Wash,1 3.81tr,,14.29,1,2026-06-27,0.90,seen only once in the captured window
Booker,117534,,Funkin White Peach Puree,1 1kg,kg,8.39,1,2026-05-01,0.90,seen only once in the captured window
Booker,117542,,Funkin Raspberry Puree,1 1kg,kg,11.79,1,2026-07-04,0.95,seen only once in the captured window
Booker,125147,,Eager Squeezed Orange Juice,8 11tr,,18.35,1,2026-05-13,0.95,seen only once in the captured window
Booker,138092,,Basil,1 100g,kg,1.59,1,2026-09-08,0.90,seen only once in the captured window
Booker,146146,,Avoca Caring Antibac H/Wash,6 500ml,L,5.25,1,2026-08-19,0.94,seen only once in the captured window
Booker,162227,,Monin Hazelnut Syrup 1Ltr,1 1ltr,L,10.99,1,2026-05-28,0.95,seen only once in the captured window
Booker,171904,,Peroni Red,24 330ml,L,23.99,1,2026-08-05,0.90,seen only once in the captured window
Booker,181258,,FF Lemons,1 2kg,kg,3.49,1,2026-06-27,0.90,seen only once in the captured window
Booker,185553,,Disaronno,1 70cl,L,16.49,1,2026-06-10,0.93,seen only once in the captured window
Booker,185579,,Disaronno,6 70cl,L,105.99,1,2026-05-01,0.90,seen only once in the captured window
Booker,190608,,Bacardi Carta Blanca,1 70cl,L,13.99,1,2026-08-12,0.93,seen only once in the captured window
Booker,190617,,Bacardi Carta Blanca,1 1ltr,L,19.69,1,2026-07-22,0.95,seen only once in the captured window
Booker,191243,,Bacardi Carta Blanca,6 1.5ltr,L,197.89,1,2026-09-02,0.90,seen only once in the captured window
Booker,194205,,Bottlgrn Elderflower Cordial,1 500ml,L,2.99,1,2026-09-08,0.90,seen only once in the captured window
Booker,213293,,Oreo Crumb Inclusion Topping,12 400g,kg,39.99,1,2026-05-06,0.93,seen only once in the captured window
Booker,224519,,Disaronno,1 50cl,L,12.99,1,2026-08-25,0.95,seen only once in the captured window
Booker,233482,,DVG Mango Fruit Puree,8 11tr,L,42.99,3,2026-08-12,0.90,seen with 2 different pack sizes (811tr; 81l)
Booker,233483,,Davinci Mango Fruit Puree,1 1ltr,L,5.99,1,2026-07-08,0.90,seen only once in the captured window
Booker,247156,,Oatly Barista Edition Oat Dr,6 1ltr,L,9.49,1,2026-06-27,0.90,seen only once in the captured window
Booker,247477,,BIRRA MORETTI NRB,1 12x330m,,13.85,1,2026-08-05,0.95,seen only once in the captured window
Booker,257038,,Gordons Mediterranean Orange,1 70cl,L,14.19,1,2026-07-15,0.95,seen only once in the captured window
Booker,261604,,White Claw Seltzer Rasp,12 330ml,L,15.99,1,2026-05-01,0.90,seen only once in the captured window
Booker,263815,,Nozeco Spumante Alcohol Free,6 75cl,L,16.29,1,2026-08-12,0.93,seen only once in the captured window
Booker,270252,,Lakeland UHT Whole Milk,12 1ltr,L,12.99,1,2026-06-27,0.90,seen only once in the captured window
Booker,270254,,Lakeland UHT SSkimmed Milk,12 1ltr,L,12.99,1,2026-06-27,0.90,seen only once in the captured window
Booker,273856,,CL Medium Barn Eggs 180,1 180,,34.99,1,2026-06-27,0.90,seen only once in the captured window
Booker,274528,,Silver Spoon Icing Sugar,1 25kg,kg,31.49,24,2026-09-03,0.90,seen with 2 different pack sizes (125kg; 25kg)
Booker,274649,,Jacks Oranges,1 5pk,each,1.99,1,2026-05-02,0.90,seen only once in the captured window
Booker,275373,,Stork,1 2kg,kg,7.69,1,2026-05-13,0.95,seen only once in the captured window
Booker,275993,,Olmeca Silver Tequila,6 70cl,L,121.09,1,2026-09-02,0.90,seen only once in the captured window
Booker,276895,,Peroni 0%,12 330ml,L,8.99,1,2026-08-05,0.95,seen only once in the captured window
Booker,279173,,Monin Grenadine Syrup,1 ltr,,,1,2026-08-05,0.95,seen only once in the captured window
Booker,288862,,Tanqueray Gin 41.3%,6 70cl,L,98.89,1,2026-09-02,0.90,seen only once in the captured window
Booker,288863,,Tanqueray Gin 41.3%,1 70cl,L,17.59,1,2026-05-06,0.95,seen only once in the captured window
Booker,290125,,CORONA EXTRA NRB,1 10x330m,,10.69,1,2026-08-05,0.95,seen only once in the captured window
Booker,292034,,Bacardi Carta Blanca PM1799,6 70cl,L,76.09,1,2026-05-01,0.90,seen only once in the captured window
Booker,294844,,Roquito Hot Honey,5 720g,kg,20.99,1,2026-07-03,0.93,seen only once in the captured window
Booker,305935,,Arla Pro Unsalted Butter,40 250g,kg,59.99,3,2026-06-27,0.90,seen with 2 different pack sizes (250g; 40250g)
Booker,306263,,25.00 off 250.00 BWS,1 sgl,,,1,2026-09-02,0.90,seen only once in the captured window
Booker,306996,,Capt Morgan Spcd Gold PM1759,1 70cl,L,12.49,1,2026-06-10,0.93,seen only once in the captured window
Booker,312072,,Coca Cola Zero,24 150ml,L,10.49,1,2026-05-01,0.90,seen only once in the captured window
Booker,317557,,Super Prem Washing Up Liquid,3 51,,15.89,1,2026-09-03,0.90,seen only once in the captured window
Booker,483870,,CL Self Raising Flour,1 3kg,kg,2.99,1,2026-06-27,0.90,seen only once in the captured window
Booker,503510,,Absolut Vodka Blue,1 70cl,L,14.99,1,2026-08-12,0.93,seen only once in the captured window
Booker,536193,,Strathmore Spark Water Glass,24 330ml,L,10.89,1,2026-06-03,0.95,seen only once in the captured window
Booker,777359,,Cointreau,6 70cl,L,113.89,1,2026-09-02,0.90,seen only once in the captured window
Booker,951327,,Campari,1 70cl,L,16.49,1,2026-06-24,0.95,seen only once in the captured window
Booker,975813,,Captain Morgans Spiced Rum,1 70cl,L,14.39,1,2026-06-17,0.90,seen only once in the captured window
Booker,BACORO,,BACARDI CARTA ORO GOLD RUM 70CL,70CL,L,21.99,1,2026-08-20,0.95,seen only once in the captured window
Booker,BSCOSTRWB,,BRISTOL SYRUP CO NO.16 STRAWBERRY SHRUB,,,7.99,1,2026-08-20,0.95,seen only once in the captured window
Booker,CHASEAPP,,CHASE RHUBARB AND APPLE GIN 40% 70CL,,L,29.99,1,2026-05-01,0.95,seen only once in the captured window
Booker,MONCHER,,MONIN CHERRY SYRUP 70CL,,L,9.99,1,2026-05-01,0.95,seen only once in the captured window
Booker,MOZWHIT,,MOZART CHOCOLATE WHITE CREAM LIQUEUR,50C,,16.99,1,2026-06-17,0.90,seen only once in the captured window
Booker,WCRASP,,WHITE CLAW HARD SELTZER RASPBERRY,12 X 3,,19.99,1,2026-07-23,0.90,seen only once in the captured window
Brakes,101750,A101750,Diversey D10 Refill Spray Bottle,1 x 6,,36.46,2,2026-06-11,0.90,seen with 2 different pack sizes (6; 6x0.751)
Brakes,10250,,Oranges Medium BB,10 Pack,each,2.6,1,2026-01-14,0.90,seen only once in the captured window
Brakes,10292,"C 10292, C10292",Medium Oranges,10 Pack,each,2.67,106,2026-09-11,0.70,seen with 3 different pack sizes (10; 5; caseqty1)
Brakes,104466,,Vinyl Gloves Blue PF X large GD13XL,1x100,,3.9,1,2026-03-13,0.90,seen only once in the captured window
Brakes,104473,"A 104473, A104473",Whisper Comfort Touch Toilet Roll Luxury,1 x 200 sheet,,21.55,12,2026-09-01,0.90,seen with 3 different pack sizes (200sheet; 40; 4x10)
