supplier,supplier_sku,description,pack_size,lines_seen,unit_cost_gbp,client_name,source,proposed_product,proposed_stock_code,alternatives,decision,new_product_name,new_stock_uom
Brakes,185763,Lotus Biscoff Crumb,8x750g,26,33.52,,matched,Biscoff Crumb,BAKE-BISC-CRUM,,,Lotus Biscoff Crumb,kg
Culpitt,21M-TFPP10,SUGAR PASTE-M&B-PASTEL PINK,4 x 2.5kg,26,35.67,,none,,,,,SUGAR PASTE-M&B-PASTEL PINK,kg
Brakes,112159,Kerrymaid Double,1 x 1 litre,25,3.76,,none,,,,,Kerrymaid Double,l
Brakes,350101,Tate & Lyle Icing Sugar,1x3kg,25,5.26,Granulated Sugar,client-description,Granulated Sugar,BAKE-GRAN-SUGR,,,Granulated Sugar,kg
Brakes,350102,Tate & Lyle Light Brown Soft Sugar,1x3kg,25,11,Granulated Sugar,client-description,Granulated Sugar,BAKE-GRAN-SUGR,,,Granulated Sugar,kg
Brakes,742,Coca-Cola Original Taste Can,24 x 330ml,24,15.49,Coca-Cola Cans,client-description,Coca-Cola Cans,SOFT-COKE-CANS,Coca Cola [SOFT-COKE-BOTL],,Coca-Cola Cans,l
JMPosner,SKU00081,JMP Chocolate Flavour Buttons Milk,12kg,24,85.56,Chocolate (unspecified),client-description,Chocolate (unspecified),CHOC-UNSP-ONE,,,Chocolate (unspecified),kg
Makro,533927,R Whites Lemonade,24 330ml,24,9.29,R Whites Lemonade,none,,,,,R Whites Lemonade,l
Brakes,135336,Sysco Classic Sour Cream 890g,1 x 890g,23,4.39,,matched,Sour Cream,DAIR-SOUR-CREM,,,Sysco Classic Sour Cream 890g,kg
Culpitt,ONC,OVERNIGHT CHARGE,EACH,23,,,none,,,,,OVERNIGHT CHARGE,each
JMPosner,EXPDELSTANDARD,Courier Delivery 1-2 Working Days upto 59kg,,23,7.95,,none,,,,,Courier Delivery 1-2 Working Days upto 59kg,kg
Brakes,149964,"Sysco Classic Tomato Ketchup, 2.15L",1 x 2.15ltr,22,6.99,,matched,Ketchup,KETC,Tomatoes [PROD-TOMA],,"Sysco Classic Tomato Ketchup, 2.15L",l
Culpitt,16J-STR10,"CARD-IND S/W-RD-P.E COATED-10""","10""",22,8.84,"10"" Cake Cards & Boards",client-sku,"10"" Cake Cards & Boards",10IN-CAKE-BRDS,,,"10"" Cake Cards & Boards",each
LWC Drinks,27881022,FEVERTREE GINGER BEER,24X200ML,22,17.17,,matched,Ginger,GING,,,FEVERTREE GINGER BEER,l
Booker,092709,Fever Tree Prem Soda Water,24 200ml,21,16.85,,matched,Fever Tree Soda Water,FEVE-TREE-SODA,,,Fever Tree Prem Soda Water,l
Brakes,133732,Baylis & Harding Jasmine & Apple Blossom Hand Wash,1 x 5ltr,21,10.14,Antibacterial Hand Wash,client-sku,Antibacterial Hand Wash,ANTI-HAND-WASH,,,Antibacterial Hand Wash,l
Brakes,133751,Super Professional Green Washing Up Liquid,2 x 5ltr,21,10.45,,matched,Washing Up Liquid,CLEN-WASH-LIQD,,,Super Professional Green Washing Up Liquid,l
Brakes,18502,Brakes UHT Aerosol Cream Sweetened,1 x 500g,21,3.61,Aerosol Cream,none,,,,,Aerosol Cream,kg
Brakes,26090,Vinyl Gloves Clear Med PF GD09M,1x100,21,7.59,,none,,,,,Vinyl Gloves Clear Med PF GD09M,each
Brakes,135429,OGGS® Aquafaba Plant-Based Egg Alternative,1 x 1ltr,20,6.01,,matched,Aquafaba - Oggs,AQUA,,,OGGS® Aquafaba Plant-Based Egg Alternative,l
Brakes,75350,Cow's Milk Mozzarella Balls,12 x 125g,20,15.54,Mozzarella Balls,none,,,,,Mozzarella Balls,kg
Makro,189805,Ice Valley Still Sprng Water,24 500ml,20,3.29,Still Bottled Water,none,,,,,Still Bottled Water,l
Makro,232387,Birra Moretti NRB UK,24 330ml,20,21.49,Birra Moretti,matched,Birra Moretti Nrb,BEER-BIRR-MORE,,,Birra Moretti,l
Makro,279322,Peroni Nastro Azzurro,24 330ml,20,22.49,,none,,,,,Peroni Nastro Azzurro,l
Brakes,103557,Salad Mix,1 x 250g,19,1.69,,none,,,,,Salad Mix,kg
Brakes,149957,Meadowland 31% Double Cream Alternative,1 x 1ltr,19,3.99,,matched,Double Cream,DOUBLE-CREAM,,,Meadowland 31% Double Cream Alternative,l
Brakes,28059,Wooden Cocktail Sticks,1x1000,19,1.13,,matched,Cocktail Sticks,BAMB-COCK-STIK,,,Wooden Cocktail Sticks,each
Culpitt,21M-MBBK10,SUGAR PASTE-M&B-BLACK,4 x 2.5kg,19,35.67,,none,,,,,SUGAR PASTE-M&B-BLACK,kg
JMPosner,SKU00596,JMP Luxury Dark Chocolate 62%,10kg,19,79,Dark Chocolate (Couverture),matched,Dark Chocolate,DARK-CHOC-COUV,,,Dark Chocolate (Couverture),kg
Brakes,114591,Daloon Falafel,60 x 25g,18,15.11,,matched,Falafel,FALA,,,Daloon Falafel,kg
Brakes,149492,Ariel Professional Formula Pro Plus Powder,1 x 6.5kg,18,22.93,Ariel Laundry Powder,client-sku,Ariel Laundry Powder,ARIE-LAUN-POWD,,,Ariel Laundry Powder,kg
Brakes,255,Sysco Classic Desiccated Coconut,1x2kg,18,11.59,Desiccated Coconut,none,,,,,Desiccated Coconut,kg
Culpitt,21M-TFPB10,SUGAR PASTE-M&B-PASTEL BLUE,4 x 2.5kg,18,35.67,,none,,,,,SUGAR PASTE-M&B-PASTEL BLUE,kg
Brakes,106727,Brakes Sliced Green Jalapeno Peppers in Brine,1 x 1kg,17,2.62,Sliced Jalapeño Peppers,client-sku,Sliced Jalapeño Peppers,SLIC-JALA-PEPP,,,Sliced Jalapeño Peppers,kg
Brakes,134730,Salimah Halal Sliced Beef Pepperoni,1 x 1kg,17,12.24,Halal Beef Pepperoni,matched,Beef Pepperoni,HALA-BEEF-PEPP,,,Halal Beef Pepperoni,kg
Brakes,135791,Sysco Simply Falafel,1x1.4kg,17,18.45,,matched,Falafel,FALA,,,Sysco Simply Falafel,kg
Brakes,152755,Zesty Baby Salad Leaf Mix,1 x 80g,17,1.38,,matched,Baby Salad,BABY-SALA,,,Zesty Baby Salad Leaf Mix,kg
Brakes,525273,Carrots Medium,1x1kg,17,0.7,,matched,Carrots,CARR,,,Carrots Medium,kg
Culpitt,02937,EDIBLE-RENSHAW-PROF SP-TIGER ORANGE,250g,17,24.19,,none,,,,,EDIBLE-RENSHAW-PROF SP-TIGER ORANGE,kg
Twist Ingredients,6616-4kg,Confetti - Matt - Natural and Vegan - 3mm - Green - Size: 4kg,4kg,17,66.01,,matched,Green Confetti,GREE-CONF,,,Confetti - Matt - Natural and Vegan - 3mm - Green - Size: 4kg,kg
Brakes,114957,FREEE Gluten Free Self Raising White Flour,5 x 1kg,16,10.7,Self-Raising Flour,none,,,,,Self-Raising Flour,kg
Brakes,134245,Doritos Lightly Salted Tortilla Chips Crisps Nachos,12 x 455g,16,30.17,,none,,,,,Doritos Lightly Salted Tortilla Chips Crisps Nachos,kg
Twist Ingredients,6503-5kg,Chocolate Beans - Mini - Multicoloured Without Shellac,5kg,16,94.76,Chocolate (unspecified),client-description,Chocolate (unspecified),CHOC-UNSP-ONE,,,Chocolate (unspecified),kg
Booker,279322,Peroni Nastro Azzurro,24 330ml,15,22.49,,none,,,,,Peroni Nastro Azzurro,l
Booker,282574,Coca Cola Can,24 330ml,15,13.29,Coca-Cola Cans,client-sku,Coca-Cola Cans,SOFT-COKE-CANS,Coca Cola [SOFT-COKE-BOTL],,Coca-Cola Cans,l
Brakes,145933,La Boulangerie Wholemeal Pitta Breads,6 x 6,15,6.01,,matched,Pitta Breads,PITT-BREA,,,La Boulangerie Wholemeal Pitta Breads,each
Brakes,509,Cadbury Original Drinking Hot Chocolate Large Tub,1 x 2kg,15,15.67,Cadbury Hot Chocolate,client-description,Cadbury Hot Chocolate,CADB-HOT-CHOC,,,Cadbury Hot Chocolate,kg
Booker,135253,Corona Extra NRB 4.5%,24 330ml,14,23.99,Corona Extra,matched,Corona Extra Nrb,BEER-CORO-EXTR,,,Corona Extra,l
Brakes,33581,Sysco Classic Ground Cinnamon,1x450g,14,5.89,,matched,Cinnamon,CINN,,,Sysco Classic Ground Cinnamon,kg
Brakes,87800,Bottlegreen Elderflower Cordial,6 x 500ml,14,16.72,Elderflower Cordial,client-sku,Elderflower Cordial,SOFT-ELDR-CORD,Elderflower [BAKE-ESSN-ELDR],,Elderflower Cordial,l
Makro,135253,Corona Extra NRB 4.5%,24 330ml,14,23.99,Corona Extra,matched,Corona Extra Nrb,BEER-CORO-EXTR,,,Corona Extra,l
Booker,232387,Birra Moretti NRB UK,24 330ml,13,21.49,Birra Moretti,matched,Birra Moretti Nrb,BEER-BIRR-MORE,,,Birra Moretti,l
Booker,533927,R Whites Lemonade,24 330ml,13,9.29,R Whites Lemonade,none,,,,,R Whites Lemonade,l
Brakes,149963,"Sysco Classic BBQ Sauce, 2.15L",1 x 2.15ltr,13,6.74,,matched,BBQ,BBQ,,,"Sysco Classic BBQ Sauce, 2.15L",l
Brakes,152101,Sysco Classic Caramelised Red Onion Chutney,1 x 2kg,13,9.79,,matched,Red Onion Chutney,CARA-ONIO-CHUT,,,Sysco Classic Caramelised Red Onion Chutney,kg
Brakes,152268,DaVinci Gourmet Vanilla Syrup,1x1ltr,13,6.67,,none,,,,,DaVinci Gourmet Vanilla Syrup,l
Brakes,89917,Paclan 100 White Pedal Bin Liners,1 x 100,13,1.67,,none,,,,,Paclan 100 White Pedal Bin Liners,each
Brakes,89987,Jacob's Crackers Biscuits For Cheese Tub,1 x 800g,13,9.93,Cheese (unspecified),client-description,Cheese (unspecified),CHEE-UNSP-ONE,,,Cheese (unspecified),kg
Makro,968313,Red Bull,24 250ml,13,24.49,,none,,,,,Red Bull,l
Booker,282673,Diet Coke Can,24 330ml,12,10.79,Diet Coke Cans,none,,,,,Diet Coke Cans,l
Brakes,33328,Frozen Fresh Strawberries,1 x 1kg,12,7.06,,matched,Strawberries,STRA,,,Frozen Fresh Strawberries,kg
Brakes,33568,Sysco Classic Extended Life Rapeseed Oil,1 x 5ltr,12,10.77,,none,,,,,Sysco Classic Extended Life Rapeseed Oil,l
Brakes,89216,Sysco Essentials All Purpose Green Cloth,1 x 50,12,3.69,,none,,,,,Sysco Essentials All Purpose Green Cloth,each
LWC Drinks,61002373,Famiglia Botter Prosecco *FREE* *FAMIGLIA BOTTER PROSECCO*,75cl,12,,,matched,Famiglia Botter Prosecco,FAMI-BOTT-PROS,,,Famiglia Botter Prosecco *FREE* *FAMIGLIA BOTTER PROSECCO*,l
Makro,108081,Kopparberg Strbry&Lime Cider,15 500ml,12,25.49,,none,,,,,Kopparberg Strbry&Lime Cider,l
Makro,202559,J20 Orange & Passionfruit,12 275ml,12,11.29,,matched,J20 A&R,J20-2,J20 O&P [J20] | Orange [ORAN],,J20 Orange & Passionfruit,l
Brakes,115803,Peroni Nastro Azzurro,24 x 330ml,11,27.19,,none,,,,,Peroni Nastro Azzurro,l
Brakes,134383,Propercorn Sweet & Salty Popcorn,8 x 90g,11,8.95,,none,,,,,Propercorn Sweet & Salty Popcorn,kg
Brakes,135420,Sheese Vegan Grated Mozzarella,1 x 1kg,11,9.65,,matched,Grated Mozzarella,GRAT-MOZZ,,,Sheese Vegan Grated Mozzarella,kg
Brakes,5596,Cadbury Instant Hot Chocolate 2kg,1 x 2kg,11,19.8,Cadbury Hot Chocolate,client-sku,Cadbury Hot Chocolate,CADB-HOT-CHOC,,,Cadbury Hot Chocolate,kg
Makro,077549,Strathmore Still Glass,24 330ml,11,10.89,,none,,,,,Strathmore Still Glass,l
Twist Ingredients,1701-5kg,Sprinkletti - Frosty - No E171 - Size: 5kg,5kg,11,120.27,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,Sprinkletti Frosty,SPRI-FROS,,,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Twist Ingredients,1722-5kg,Sprinkletti - Colours - Turquoise - Size: 5kg,5kg,11,137.5,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,Sprinkletti - Turquoise,SPRI,,,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Twist Ingredients,1863-5kg,Sugar Crunch - Berry - Size: 5kg,5kg,11,77.3,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,Sugar Crunch Berry,SUGA-CRUN-BERR,,,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Booker,063724,Coke Zero,24 330ml,10,10.95,,none,,,,,Coke Zero,l
Brakes,119689,Cooks & Co Green Pesto Alla Genovese,1 x 1.2kg,10,11.26,,none,,,,,Cooks & Co Green Pesto Alla Genovese,kg
Brakes,128154,Alpro Soya Wholebean Unsweetened,8x1Ltr,10,13.13,Soya Milk,none,,,,,Soya Milk,l
Brakes,136145,Ice Club Ice Cubes,5x1.8kg,10,3.91,,none,,,,,Ice Club Ice Cubes,kg
Brakes,33891,Sysco Classic Self Raising Flour,1 x 25kg,10,25.4,Self-Raising Flour,none,,,,,Self-Raising Flour,kg
Brakes,86870,Preema Lemon Essence,1 x 500ml,10,5.03,,matched,Lemon,BAKE-ESSN-LEMN,Lemons [LEMO],,Preema Lemon Essence,l
Brakes,88433,A 88433 - KETTLE® Lightly Salted 18x40g Crisps 18 x 40g,18 x 40g,10,9.65,Kettle Chips - Lightly Salted,matched,Kettle Salted,KETL-CHIP-SALT,,,Kettle Chips - Lightly Salted,kg
Culpitt,02951,EDIBLE-RENSHAW-PROF SP-DARK BROWN,250g,10,23.57,,none,,,,,EDIBLE-RENSHAW-PROF SP-DARK BROWN,kg
JMPosner,SKU00082,JMP Chocolate Flavour Buttons White,12KG,10,87.42,Chocolate (unspecified),client-description,Chocolate (unspecified),CHOC-UNSP-ONE,,,Chocolate (unspecified),kg
Makro,092709,Fever Tree Prem Soda Water,24 200ml,10,16.85,,matched,Fever Tree Soda Water,FEVE-TREE-SODA,,,Fever Tree Prem Soda Water,l
Makro,146127,J20 Apple & Raspberry,12 275ml,10,11.29,Apple & Raspberry (check what this is),matched,Apple & Raspberry,JUIC-APPL-RASP,J20 A&R [J20-2] | J20 O&P [J20],,Apple & Raspberry (check what this is),l
Twist Ingredients,6268-4kg,Shapes - Matt - Triangles - Pastel Mix,4kg,10,78.92,,none,,,,,Shapes - Matt - Triangles - Pastel Mix,kg
Twist Ingredients,6513-5kg,Pearls Mix - Glimmer Silver,5kg,10,111,,matched,Silver Pearl Mix,SILV-PEAR-MIX,,,Pearls Mix - Glimmer Silver,kg
Brakes,114953,Sysco Classic Self Raising Flour,6 x 1.5kg,9,11.12,Self-Raising Flour,none,,,,,Self-Raising Flour,kg
Brakes,117293,Schweppes Original Soda Water 1L,6 x 1ltr,9,10.56,,none,,,,,Schweppes Original Soda Water 1L,l
Brakes,126918,Sysco Classic Chilli Jam,1 x 1.25kg,9,9.44,Chilli Jam,client-sku,Chilli Jam,COND-CHIL-JAM,,,Chilli Jam,kg
Brakes,129497,Arran Fine Foods Caramelised Onion Chutney,1 x 2.35kg,9,12.66,Caramelised Onion Chutney,none,,,,,Caramelised Onion Chutney,kg
Brakes,131051,Sysco Classic Cauliflower Wings,1x1kg,9,9.16,Cauliflower Wings,client-sku,Cauliflower wings,SAVR-CAUL-WING,,,Cauliflower Wings,kg
Brakes,133561,Brakes Essentials Fully Baked Tomato & Cheese Quiche Slabs,4 x 1kg,9,22.18,Tomato & Cheese Quiche,client-sku,Tomato & Cheese Quiche,TOMA-CHEE-QUIC,Tomato & Cheese Quiche [TOMA-CHEE-QUIC],,Tomato & Cheese Quiche,kg
Brakes,133638,Brakes Essentials Quiche Lorraine,4x1kg,9,22.5,Quiche Lorraine,none,,,,,Quiche Lorraine,kg
Brakes,33596,Sysco Classic Bicarbonate Of Soda,1kg,9,4.12,,matched,Bicarbonate of Soda,BICA-SODA,,,Sysco Classic Bicarbonate Of Soda,kg
Brakes,89463,Twinings Invigorating Pmint,1x20,9,2.62,,none,,,,,Twinings Invigorating Pmint,each
Culpitt,16J-STRO8,"CARD-IND S/W-RD-P.E COATED-8""","8""",9,9.37,,none,,,,,"CARD-IND S/W-RD-P.E COATED-8""",each
JMPosner,SKU00595,Luxury 10KG Milk Chocolate Case 10Kg,10Kg,9,88.35,Chocolate (unspecified),client-description,Chocolate (unspecified),CHOC-UNSP-ONE,Milk [DAIR-WHOL-MILK],,Chocolate (unspecified),kg
LWC Drinks,46891360,SANGIOVESE PRIMISOLI,75CL,9,7.92,,none,,,,,SANGIOVESE PRIMISOLI,l
LWC Drinks,47905005,SEA CHANGE PROVENCE ROSE,75CL,9,13.32,,none,,,,,SEA CHANGE PROVENCE ROSE,l
Twist Ingredients,1033-4kg,Pearls - High Shine - 4mm - Gold - Size: 4kg,4kg,9,110.23,,matched,Gold Pearls,GOLD-PEAR,,,Pearls - High Shine - 4mm - Gold - Size: 4kg,kg
Twist Ingredients,1643-4kg,Shapes - Glimmer - Clouds - Pink - Size: 4kg,4kg,9,101.58,,none,,,,,Shapes - Glimmer - Clouds - Pink - Size: 4kg,kg
Twist Ingredients,6481-5kg,Pearls - Pearls Mix - Glimmer Mother of Pearl - Size: 5kg,5kg,9,109.42,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,Mother of Pearl,MOTH-PEAR,,,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Twist Ingredients,6505-15kg,Strands - Matt - Rainbow Sprinkles - Size: 15kg,15kg,9,197.11,,matched,Rainbow Sprinkles,RAIN-SPRI,,,Strands - Matt - Rainbow Sprinkles - Size: 15kg,kg
Twist Ingredients,6550-4kg,Sugar Shapes - Matt - Natural - Flowers - Hippy Mix,4kg,9,93.04,,none,,,,,Sugar Shapes - Matt - Natural - Flowers - Hippy Mix,kg
Twist Ingredients,6611-4kg,Hearts - Matt - Natural and Vegan - Pink - Size: 4kg,4kg,9,67.71,,none,,,,,Hearts - Matt - Natural and Vegan - Pink - Size: 4kg,kg
Brakes,100243,Brakes The Juice Orange,12x1ltr,8,16.99,"Fruit Juice (Apple, Orange & Pineapple)",matched,Orange Juice,JUIC-FRUT-ORG,Orange [ORAN] | Oranges [ORAN-2],,"Fruit Juice (Apple, Orange & Pineapple)",l
Brakes,105956,Brakes Crisp Puffed Rice,8 x 600g,8,22.18,Puffed Rice,client-sku,Puffed Rice,BAKE-PUFF-RICE,Crisps [CRIS],,Puffed Rice,kg
Brakes,133562,Brake Essen Leek & Emmental Slab,4x1kg,8,23.07,Leek & Emmental Quiche,client-sku,Leek & Emmental Quiche,LEEK-EMME-QUIC,,,Leek & Emmental Quiche,kg
Brakes,136708,Brakes Essentials Dishwasher Detergent,2 x 5ltr,8,12.87,Dishwasher Detergent,client-sku,Dishwasher Detergent,CLEN-DISH-DETG,,,Dishwasher Detergent,l
Brakes,150343,Optimum Wht Z Fold Hand Towl 2Ply,15x198,8,29.67,,none,,,,,Optimum Wht Z Fold Hand Towl 2Ply,each
Brakes,17408,Hellmann's Classic Vinaigrette Dressing 1L,1 x 1ltr,8,6.52,,none,,,,,Hellmann's Classic Vinaigrette Dressing 1L,l
Brakes,20954,"Blue Piping Bag 20""",1 x 100,8,19.66,"21"" Piping Bags",client-sku,"21"" Piping Bags",21IN-PIPE-BAGS,,,"21"" Piping Bags",each
Brakes,5025705,Sysco Essentials Washing Up Liquid,2 x 5ltr,8,9.29,Washing Up Liquid,client-description,Washing Up Liquid,CLEN-WASH-LIQD,,,Washing Up Liquid,l
Twist Ingredients,2013-4kg,Shapes - Matt - Holly and berries - Size: 4kg,4kg,8,80.48,,none,,,,,Shapes - Matt - Holly and berries - Size: 4kg,kg
Twist Ingredients,6618-4kg,Confetti - Matt - Natural and Vegan - 3mm - Purple - Size: 4kg,4kg,8,66.01,,none,,,,,Confetti - Matt - Natural and Vegan - 3mm - Purple - Size: 4kg,kg
Booker,319485,Pimms No 1 22% ABV,1 70cl,7,11.99,,matched,Pimm's No.1,PIMM-NO,,,Pimms No 1 22% ABV,l
Brakes,10417,Prepared Baton Carrots,1 x 2.5kg,7,4.91,,matched,Carrots,CARR,,,Prepared Baton Carrots,kg
Brakes,133687,Macphie Vegan Cream Alternative,1x1ltr,7,3.77,,none,,,,,Macphie Vegan Cream Alternative,l
Brakes,151047,BWT Granular Salt,1 x 25kg,7,14.12,Dishwasher Salt,client-sku,Dishwasher Salt,CLEN-DISH-SALT,,,Dishwasher Salt,kg
Brakes,152269,DaVinci Gourmet Hazelnut Syrup,1 x 1ltr,7,6.57,,none,,,,,DaVinci Gourmet Hazelnut Syrup,l
Brakes,5001253,PerfectTed Matcha Powder,1 x 250g,7,39.26,,none,,,,,PerfectTed Matcha Powder,kg
Brakes,5025686,Sysco Essentials Laundry Detergent Non Bio,2 x 5ltr,7,20.44,Non-Bio Laundry Detergent,client-description,Non-Bio Laundry Detergent,NBIO-LAUN-DETG,,,Non-Bio Laundry Detergent,l
Brakes,71268,Sysco Classic Grated Mature White Cheddar Cheese,1 x 1kg,7,6.79,Lactose-Free Cheddar,client-description,Lactose-Free Cheddar,LACT-FREE-CHED,,,Lactose-Free Cheddar,kg
Makro,083358,Kopparberg Mixed Fruit Cider,15 500ml,7,25.49,,none,,,,,Kopparberg Mixed Fruit Cider,l
Twist Ingredients,1708-5kg,Sprinkletti - Party - Size: 5kg,5kg,7,132.42,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",none,,,,,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Twist Ingredients,6087-5kg,Sugar Crunch - Caramel - Size: 5kg,5kg,7,73.71,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,Caramel,BAKE-ESSN-CARA,,,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Twist Ingredients,6481-12.5kg,Pearls - Pearls Mix - Glimmer Mother of Pearl - Size: 12.5kg,12.5kg,7,268.27,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",matched,Mother of Pearl,MOTH-PEAR,,,"UNKNOWN - ""4 x 2.5kg"" (check invoice)",kg
Booker,101250,Sunpride Pure Pineapple Jce,12 1ltr,6,20.29,,none,,,,,Sunpride Pure Pineapple Jce,l
Booker,168776,CL Medium Eggs,1 180,6,31.99,Medium Eggs,none,,,,,Medium Eggs,each
